iteration,idxS,idxE,S,E,P,overlap,overlap_score,overlap_density,real_overlap
335,5,14,010000,001010,011010,0--0-0,3,0.5,False
336,5,15,010000,010100,000100,010-00,5,0.8333333333333334,False
337,5,16,010000,101000,111000,---000,3,0.5,False
338,5,17,010000,010001,000001,01000-,5,0.8333333333333334,False
339,5,18,010000,100011,110011,--00--,2,0.3333333333333333,False
340,5,19,010000,000111,010111,0-0---,2,0.3333333333333333,False
341,5,20,010000,001110,011110,0----0,2,0.3333333333333333,False
342,5,21,010000,011100,001100,01--00,4,0.6666666666666666,False
343,5,22,010000,111001,101001,-1-00-,3,0.5,False
344,5,23,010000,110010,100010,-100-0,4,0.6666666666666666,False
345,5,24,010000,100100,110100,--0-00,3,0.5,False
346,5,25,010000,001001,011001,0--00-,3,0.5,False
347,5,26,010000,010010,000010,0100-0,5,0.8333333333333334,False
348,5,27,010000,100101,110101,--0-0-,2,0.3333333333333333,False
349,5,28,010000,001011,011011,0--0--,2,0.3333333333333333,False
350,5,29,010000,010110,000110,010--0,4,0.6666666666666666,False
351,5,30,010000,101100,111100,----00,2,0.3333333333333333,False
352,5,31,010000,011001,001001,01-00-,4,0.6666666666666666,False
353,5,32,010000,110011,100011,-100--,3,0.5,False
354,5,33,010000,100110,110110,--0--0,2,0.3333333333333333,False
355,5,34,010000,001101,011101,0---0-,2,0.3333333333333333,False
356,5,35,010000,011010,001010,01-0-0,4,0.6666666666666666,False
357,5,36,010000,110100,100100,-10-00,4,0.6666666666666666,False
358,5,37,010000,101001,111001,---00-,2,0.3333333333333333,False
359,5,38,010000,010011,000011,0100--,4,0.6666666666666666,False
360,5,39,010000,100111,110111,--0---,1,0.16666666666666666,False
361,5,40,010000,001111,011111,0-----,1,0.16666666666666666,False
362,5,41,010000,011110,001110,01---0,3,0.5,False
363,5,42,010000,111101,101101,-1--0-,2,0.3333333333333333,False
364,5,43,010000,111010,101010,-1-0-0,3,0.5,False
365,5,44,010000,110101,100101,-10-0-,3,0.5,False
366,5,45,010000,101010,111010,---0-0,2,0.3333333333333333,False
367,5,46,010000,010101,000101,010-0-,4,0.6666666666666666,False
368,5,47,010000,101011,111011,---0--,1,0.16666666666666666,False
369,5,48,010000,010111,000111,010---,3,0.5,False
370,5,49,010000,101110,111110,-----0,1,0.16666666666666666,False
371,5,50,010000,011101,001101,01--0-,3,0.5,False
372,5,51,010000,111011,101011,-1-0--,2,0.3333333333333333,False
373,5,52,010000,110110,100110,-10--0,3,0.5,False
374,5,53,010000,101101,111101,----0-,1,0.16666666666666666,False
375,5,54,010000,011011,001011,01-0--,3,0.5,False
376,5,55,010000,110111,100111,-10---,2,0.3333333333333333,False
377,5,56,010000,101111,111111,------,0,0.0,False
378,5,57,010000,011111,001111,01----,2,0.3333333333333333,False
379,5,58,010000,111111,101111,-1----,1,0.16666666666666666,False
380,5,59,010000,111110,101110,-1---0,2,0.3333333333333333,False
381,5,60,010000,111100,101100,-1--00,3,0.5,False
382,5,61,010000,111000,101000,-1-000,4,0.6666666666666666,False
383,5,62,010000,110000,100000,-10000,5,0.8333333333333334,False
384,5,63,010000,100000,110000,--0000,4,0.6666666666666666,False
385,6,0,100001,000000,100001,-0000-,4,0.6666666666666666,False
386,6,1,100001,000001,100000,-00001,5,0.8333333333333334,True
387,6,2,100001,000010,100011,-000--,3,0.5,False
388,6,3,100001,000100,100101,-00-0-,3,0.5,False
389,6,4,100001,001000,101001,-0-00-,3,0.5,False
390,6,5,100001,010000,110001,--000-,3,0.5,False
391,6,6,100001,100001,000000,100001,6,1.0,True
392,6,7,100001,000011,100010,-000-1,4,0.6666666666666666,True
393,6,8,100001,000110,100111,-00---,2,0.3333333333333333,False
394,6,9,100001,001100,101101,-0--0-,2,0.3333333333333333,False
395,6,10,100001,011000,111001,---00-,2,0.3333333333333333,False
396,6,11,100001,110001,010000,1-0001,5,0.8333333333333334,True
397,6,12,100001,100010,000011,1000--,4,0.6666666666666666,True
398,6,13,100001,000101,100100,-00-01,4,0.6666666666666666,True
399,6,14,100001,001010,101011,-0-0--,2,0.3333333333333333,False
400,6,15,100001,010100,110101,--0-0-,2,0.3333333333333333,False
401,6,16,100001,101000,001001,10-00-,4,0.6666666666666666,True
402,6,17,100001,010001,110000,--0001,4,0.6666666666666666,True
403,6,18,100001,100011,000010,1000-1,5,0.8333333333333334,True
404,6,19,100001,000111,100110,-00--1,3,0.5,True
405,6,20,100001,001110,101111,-0----,1,0.16666666666666666,False
406,6,21,100001,011100,111101,----0-,1,0.16666666666666666,False
407,6,22,100001,111001,011000,1--001,4,0.6666666666666666,True
408,6,23,100001,110010,010011,1-00--,3,0.5,True
409,6,24,100001,100100,000101,100-0-,4,0.6666666666666666,True
410,6,25,100001,001001,101000,-0-001,4,0.6666666666666666,True
411,6,26,100001,010010,110011,--00--,2,0.3333333333333333,False
412,6,27,100001,100101,000100,100-01,5,0.8333333333333334,True
413,6,28,100001,001011,101010,-0-0-1,3,0.5,True
414,6,29,100001,010110,110111,--0---,1,0.16666666666666666,False
415,6,30,100001,101100,001101,10--0-,3,0.5,True
416,6,31,100001,011001,111000,---001,3,0.5,True
417,6,32,100001,110011,010010,1-00-1,4,0.6666666666666666,True
418,6,33,100001,100110,000111,100---,3,0.5,True
419,6,34,100001,001101,101100,-0--01,3,0.5,True
420,6,35,100001,011010,111011,---0--,1,0.16666666666666666,False
421,6,36,100001,110100,010101,1-0-0-,3,0.5,True
422,6,37,100001,101001,001000,10-001,5,0.8333333333333334,True
423,6,38,100001,010011,110010,--00-1,3,0.5,True
424,6,39,100001,100111,000110,100--1,4,0.6666666666666666,True
425,6,40,100001,001111,101110,-0---1,2,0.3333333333333333,True
426,6,41,100001,011110,111111,------,0,0.0,False
427,6,42,100001,111101,011100,1---01,3,0.5,True
428,6,43,100001,111010,011011,1--0--,2,0.3333333333333333,True
429,6,44,100001,110101,010100,1-0-01,4,0.6666666666666666,True
430,6,45,100001,101010,001011,10-0--,3,0.5,True
431,6,46,100001,010101,110100,--0-01,3,0.5,True
432,6,47,100001,101011,001010,10-0-1,4,0.6666666666666666,True
433,6,48,100001,010111,110110,--0--1,2,0.3333333333333333,True
434,6,49,100001,101110,001111,10----,2,0.3333333333333333,True
435,6,50,100001,011101,111100,----01,2,0.3333333333333333,True
436,6,51,100001,111011,011010,1--0-1,3,0.5,True
437,6,52,100001,110110,010111,1-0---,2,0.3333333333333333,True
438,6,53,100001,101101,001100,10--01,4,0.6666666666666666,True
439,6,54,100001,011011,111010,---0-1,2,0.3333333333333333,True
440,6,55,100001,110111,010110,1-0--1,3,0.5,True
441,6,56,100001,101111,001110,10---1,3,0.5,True
442,6,57,100001,011111,111110,-----1,1,0.16666666666666666,True
443,6,58,100001,111111,011110,1----1,2,0.3333333333333333,True
444,6,59,100001,111110,011111,1-----,1,0.16666666666666666,True
445,6,60,100001,111100,011101,1---0-,2,0.3333333333333333,True
446,6,61,100001,111000,011001,1--00-,3,0.5,True
